Tx gene_symbol
Tx1 WDR48
Tx1 RBBP9
Tx1 NPY5R
Tx1 ARRDC4
Tx1 ZNF267
Tx1 PFKFB2
Tx1 GCA
Tx1 CTNNAL1
Tx1 NGEF
Tx1 LHX2
Tx1 ABCC8
Tx1 ZNF211
Tx1 RSRP1
Tx1 IFT20
Tx1 COQ9
Tx1 MRPS5
Tx1 PPP2R3C
Tx1 LYPLA1
Tx1 SCAMP2
Tx1 ZFYVE1
Tx1 THOC5
Tx1 SRGAP2C
Tx1 AIFM1
Tx1 UTP20
Tx1 SPDL1
Tx1 HSD17B11
Tx1 GEMIN2
Tx1 NBPF3
Tx1 LRRC9
Tx1 REV3L
Tx1 UBXN4
Tx1 GCLM
Tx1 ARL6IP6
Tx1 MOCS1
Tx1 C12orf66
Tx1 STRIP2
Tx1 ZNF571
Tx1 ZNF283
Tx1 L3HYPDH
Tx1 SYDE2
Tx1 METTL4
Tx1 LCA5
Tx1 ZNF181
Tx1 CYP4V2
Tx1 KDELC1
Tx1 SLC25A32
Tx1 RFXAP
Tx1 ZNF852
Tx1 SDHAF3
Tx1 SNX18
Tx1 RPIA
Tx1 CPS1
Tx1 TRDMT1
Tx1 ZCCHC4
Tx1 ZNF112
Tx1 PRPF4B
Tx1 ZNF354B
Tx1 WNK3
Tx1 MTERF3
Tx1 GPR19
Tx1 TXNL4B
Tx1 ATG4A
Tx1 FAM173B
Tx1 SHQ1
Tx1 DNAJC3
Tx1 GTF2E1
Tx1 ZNF470
Tx1 SLC25A53
Tx1 DYNC1I2
Tx1 FAM241A
Tx1 PELI1
Tx1 PRKRA
Tx1 TMEM178A
Tx1 RAB21
Tx1 ZNF347
Tx1 TCOF1
Tx1 RPA1
Tx1 CRELD1
Tx1 METTL21A
Tx1 ACTR3C
Tx1 FANK1
Tx1 TMEM161A
Tx1 FAM227A
Tx1 NSUN6
Tx1 HPRT1
Tx1 LMAN2L
Tx1 XPO1
Tx1 RPS10-NUDT3
Tx1 STYXL1
Tx1 KLHL13
Tx1 CETN3
Tx1 LRRIQ1
Tx1 TAF1D
Tx1 AASDH
Tx1 LARP7
Tx1 ZNF404
Tx1 MCF2
Tx1 RIDA
Tx1 C17orf97
Tx1 HHLA3
Tx1 GGH
Tx1 TPRKB
Tx1 MALSU1
Tx1 TPX2
Tx1 HSD17B7
Tx1 RAB27A
Tx1 ACP6
Tx1 ATG4C
Tx1 SLC15A2
Tx1 KNTC1
Tx1 INTU
Tx1 NUCB2
Tx1 ZNF518A
Tx1 GINS1
Tx1 ZMYM1
Tx1 CENPE
Tx1 CLIC5
Tx1 DIO2
Tx1 KANSL1
Tx1 ZNF559-ZNF177
Tx1 SNRPN
Tx1 IGFL4
Tx1 ZNF549
Tx1 ASB7
Tx1 IFT43
Tx1 RTTN
Tx1 RHBDD1
Tx1 NFYC
Tx1 TTC27
Tx1 ZCCHC7
Tx1 NETO2
Tx1 ATXN7
Tx1 ZNF566
Tx1 SORCS1
Tx1 ETV6
Tx1 AP2B1
Tx1 MGAT5
Tx1 GALNT2
Tx1 PTPRJ
Tx1 ST8SIA5
Tx1 STRBP
Tx1 ASAP1
Tx1 APLF
Tx1 SMCO2
Tx1 NELL1
Tx1 ESRRG
Tx1 CDH22
Tx1 SMAD3
Tx1 LRFN2
Tx1 ZNF697
Tx1 GFRA2
Tx1 GPCPD1
Tx1 NCAN
Tx1 MTHFSD
Tx1 ZBTB37
Tx1 DDX31
Tx1 KLHDC4
Tx1 TBC1D16
Tx1 WDR4
Tx1 DHX37
Tx1 HELB
Tx1 ZNF610
Tx1 ADAMTS13
Tx1 FAM160B2
Tx1 SLC38A10
Tx1 ADAM11
Tx1 PKD1
Tx1 PLXDC1
Tx1 PTPN3
Tx1 UNC13B
Tx1 TRPM2
Tx1 TPCN2
Tx1 RIMKLA
Tx1 CABP1
Tx1 SDR42E2
Tx1 MSANTD1
Tx1 LOXL2
Tx1 ANKRD45
Tx1 FBLN5
Tx1 PPP1R42
Tx1 ST3GAL4
Tx1 DNAH9
Tx1 DCDC1
Tx1 CFAP54
Tx1 BEND7
Tx1 ADAMTS16
Tx1 GALNT9
Tx1 ZMIZ1
Tx1 KCNK12
Tx1 KCNJ6
Tx1 SPTB
Tx1 ARNT2
Tx1 ANKRD6
Tx1 BEGAIN
Tx1 KIFC3
Tx1 CELF5
Tx1 MMD2
Tx1 ALS2CR12
Tx1 CFAP46
Tx1 KCNMB3
Tx1 PRSS3
Tx1 ABHD14A-ACY1
Tx1 CD8A
Tx1 ZNF835
Tx1 ABCA7
Tx1 CLIP2
Tx1 ETHE1
Tx1 CRK
Tx1 RTN2
Tx1 RAB29
Tx1 VASP
Tx1 CTSK
Tx1 CENPA
Tx1 CEACAM19
Tx1 MTHFR
Tx1 BAZ2A
Tx1 CELF1
Tx1 PLXND1
Tx1 GMEB2
Tx1 SRC
Tx1 GTF3C1
Tx1 SLC19A1
Tx1 BRD9
Tx1 WASHC1
Tx1 USP35
Tx1 KLHL15
Tx1 DTX4
Tx1 SIAH2
Tx1 MGAT1
Tx1 KMT5A
Tx1 ZDHHC18
Tx1 PTK2B
Tx1 RNF2
Tx1 MOB1B
Tx1 PHF19
Tx1 PSD2
Tx1 POLE
Tx1 CROCC
Tx1 KCNT1
Tx1 PTPRU
Tx1 CACNA1I
Tx1 NATD1
Tx1 LAMA5
Tx1 MTSS1L
Tx1 MAP2K3
Tx1 SMAD7
Tx1 DONSON
Tx1 KIAA1522
Tx1 PANX2
Tx1 TMEM8A
Tx1 MAP3K12
Tx1 CSRNP2
Tx1 KRBA1
Tx1 OGFR
Tx1 ACBD4
Tx1 GAA
Tx1 NRBP2
Tx1 IFFO1
Tx1 DGKQ
Tx1 FANCG
Tx1 TAF1C
Tx1 LRCH4
Tx1 PIDD1
Tx1 ZNF200
Tx1 SAMD10
Tx1 PQLC2
Tx1 MARCH2
Tx1 IDUA
Tx1 TNFRSF14
Tx1 TMEM86B
Tx1 JAG2
Tx1 FAAP100
Tx1 AMDHD2
Tx1 SLC26A10
Tx1 PILRB
Tx1 P2RX6
Tx1 IL11RA
Tx1 COL7A1
Tx1 CASZ1
Tx1 SLC25A34
Tx1 LGI4
Tx1 PCSK4
Tx1 MYO15A
Tx1 GSDMB
Tx1 INF2
Tx1 EXTL1
Tx1 HAGHL
Tx1 BAIAP3
Tx1 C1orf162
Tx1 AQP1
Tx1 CCDC154
Tx1 ADAM8
Tx1 TPD52L2
Tx1 TMEM74B
Tx1 RCE1
Tx1 RFNG
Tx1 MAT2A
Tx1 CTSA
Tx1 GOLGA7B
Tx1 ZFYVE19
Tx1 STAT6
Tx1 APBA3
Tx1 CRYGS
Tx1 SLC12A9
Tx1 ATP13A4
Tx1 RUBCNL
Tx1 DOCK11
Tx1 TGFB2
Tx1 RGPD8
Tx1 CCDC62
Tx1 PPARG
Tx1 RNF103-CHMP3
Tx1 TYW1B
Tx1 RAB11FIP1
Tx1 MAMLD1
Tx1 CHST11
Tx1 MYO9B
Tx1 PCSK7
Tx1 ARID3A
Tx1 GYS1
Tx1 PLPP7
Tx1 DTX2
Tx1 EPHA10
Tx1 ZNF525
Tx1 JAK3
Tx1 AKNA
Tx1 IRAK2
Tx1 HSD17B14
Tx1 DDX11
Tx1 SGCG
Tx1 SLC39A8
Tx1 MOGAT1
Tx1 SPAG6
Tx1 LEMD1
Tx1 F13A1
Tx1 FHAD1
Tx1 SLC25A20
Tx1 DDB2
Tx1 STIL
Tx1 LIMA1
Tx1 PLEKHD1
Tx1 FZD6
Tx1 WDR63
Tx1 MEI4
Tx1 PRR11
Tx1 CBWD3
Tx1 NBPF12
Tx1 NWD1
Tx1 CHMP6
Tx1 CDK11A
Tx1 DNAH12
Tx1 C2CD6
Tx1 KCNJ14
Tx1 TUBA1C
Tx1 ANKRD20A4
Tx1 ANKRD20A3
Tx1 GOLGA8N
Tx1 GOLGA6L4
Tx1 RADIL
Tx1 UBE2Q2L
Tx1 C3orf20
Tx1 SLC45A2
Tx1 CRACR2A
Tx1 CD101
Tx1 SLC6A13
Tx1 BAAT
Tx1 ABCC3
Tx1 DDR2
Tx1 OTOA
Tx1 SH2B2
Tx1 CRY1
Tx1 ACER2
Tx1 RNF185
Tx1 OBSCN
Tx1 BMP8A
Tx1 THSD4
Tx1 ADAMTSL2
Tx1 SEMA4A
Tx1 CACNA1G
Tx1 KHNYN
Tx1 ANXA5
Tx1 CREB3L2
Tx1 HRH1
Tx1 ARHGAP27
Tx1 ASAP3
Tx1 LHFPL2
Tx1 AVIL
Tx8 CCNJL
Tx8 ARID3B
Tx8 ZNF541
Tx8 LIX1L
Tx8 PIPOX
Tx8 SLC9A8
Tx8 PIGL
Tx8 TMEM143
Tx8 MORN3
Tx8 RABEPK
Tx8 DSCC1
Tx8 DNAAF4
Tx8 CFAP61
Tx8 SULT1A1
Tx8 ECHDC2
Tx8 DBF4B
Tx8 TTC21A
Tx8 SPATA7
Tx8 TTC23L
Tx8 TAMM41
Tx8 GGT1
Tx8 C2
Tx8 ZIM2
Tx8 ZNF621
Tx8 CPOX
Tx8 AOAH
Tx8 MAEL
Tx8 PTH2R
Tx8 RBM4
Tx8 DPH6
Tx8 CABCOCO1
Tx8 AGBL3
Tx8 HMGN5
Tx8 MMS22L
Tx8 DDX59
Tx8 EPM2A
Tx8 RSAD2
Tx8 C3orf58
Tx8 DLEU7
Tx8 MCM9
Tx8 ZNF180
Tx8 DRAM2
Tx8 SNX30
Tx8 TMEM62
Tx8 ZNF254
Tx8 MORN1
Tx8 POU6F1
Tx8 ZNF432
Tx8 AKAP8L
Tx8 TTLL1
Tx8 METTL6
Tx8 QRICH1
Tx8 KDM3B
Tx8 SLC17A5
Tx8 NCAPD2
Tx8 WDR60
Tx8 CCDC88A
Tx8 ZNF577
Tx8 NADSYN1
Tx8 FBXO22
Tx8 WDPCP
Tx8 CENPP
Tx8 TIMM23B
Tx8 HRASLS
Tx8 LMF1
Tx8 FAM228B
Tx8 SLC22A15
Tx8 NRG4
Tx8 FBXO15
Tx8 CLIC2
Tx8 PLA2G4A
Tx8 TEC
Tx8 ANKRD30B
Tx8 COL24A1
Tx8 KCNH4
Tx8 MARCH10
Tx8 PCYOX1L
Tx8 SLC25A29
Tx8 CCDC173
Tx8 MYCBPAP
Tx8 MR1
Tx8 L3MBTL1
